repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
cicirello/Chips-n-Salsa,47,1,0,0,0,21.277,17,16,1254,2,Java,false,0,Java,General-Purpose Machine Learning,12.000,2
datumbox/datumbox-framework,1089,1,0,0,0,0.918,22,1135,3323,2,Java,false,0,Java,General-Purpose Machine Learning,2.000,0
encog/encog-java-core,744,1,0,0,0,1.344,17,1786,4536,31,Java,false,0,Java,General-Purpose Machine Learning,2.000,0
h2oai/h2o-3,6557,54,25,10,3,8.235,0,0,3552,369,Jupyter Notebook,false,0,Java,General-Purpose Machine Learning,90.000,9
numenta/htm.java,307,0,0,0,0,0.000,49,798,3392,67,Java,false,0,Java,General-Purpose Machine Learning,0.000,0
bwaldvogel/liblinear-java,307,0,0,0,0,0.000,38,550,5512,9,Java,false,0,Java,General-Purpose Machine Learning,0.000,0
apache/mahout,2100,7,2,1,0,3.333,1,23,3471,58,Java,false,0,Java,General-Purpose Machine Learning,22.000,2
Hydrospheredata/mist,326,1,0,0,0,3.067,19,1508,2869,24,Scala,false,0,Java,General-Purpose Machine Learning,2.000,0
oryxproject/oryx,1793,2,1,1,0,1.115,3,862,3408,14,Java,true,0,Java,General-Purpose Machine Learning,0.000,0
padreati/rapaio,64,0,0,0,0,0.000,198,1,3730,12,Java,false,0,Java,General-Purpose Machine Learning,40.000,1
apache/systemml,989,1,1,0,0,1.011,8,13,2935,189,Java,false,0,Java,General-Purpose Machine Learning,25.000,4
CogComp/lbjava,13,0,0,0,0,0.000,285,2236,2928,35,Java,false,0,Java,General-Purpose Machine Learning,0.000,0
felipexw/knn-java-library,5,0,0,0,0,0.000,164,2640,2642,1,Java,false,0,Java,General-Purpose Machine Learning,0.000,0
apache/hadoop,13987,89,46,27,4,6.363,0,0,3374,590,Java,false,0,Java,Data Analysis / Data Visualization,100.000,25
onyx-platform/onyx,2046,2,1,0,0,0.978,11,1545,3643,58,Clojure,true,0,Java,Data Analysis / Data Visualization,0.000,0
apache/spark,37240,231,111,52,10,6.203,0,0,3558,2034,Scala,false,0,Java,Data Analysis / Data Visualization,100.000,72
cloudera/impala,29,0,0,0,0,0.000,140,1611,4053,118,C++,false,0,Java,Data Analysis / Data Visualization,0.000,0
deeplearning4j/deeplearning4j,13237,50,19,10,2,3.777,0,1,3648,67,Java,false,0,Java,Deep Learning,75.000,1
deepjavalibrary/djl,3587,37,20,12,3,10.315,0,0,1485,101,Java,false,0,Java,Deep Learning,85.000,6
